,state,year,count,asc,dsc,asc_deflators
0,alabama,2000,419,1.0,0.9882075471698113,1.0
1,alabama,2001,424,1.0119331742243436,0.9953051643192489,1.0119331742243436
2,alabama,2002,426,1.0047169811320755,0.9906976744186047,1.0167064439140812
3,alabama,2003,430,1.0093896713615023,0.9907834101382489,1.026252983293556
4,alabama,2004,434,1.0093023255813953,0.9954128440366973,1.035799522673031
5,alabama,2005,436,1.0046082949308757,0.9954337899543378,1.0405727923627686
6,alabama,2006,438,1.0045871559633028,0.9931972789115646,1.0453460620525061
7,alabama,2007,441,1.0068493150684932,0.9932432432432432,1.0525059665871124
8,alabama,2008,444,1.0068027210884354,0.9977528089887641,1.0596658711217186
9,alabama,2009,445,1.0022522522522523,0.9955257270693513,1.0620525059665875
10,alabama,2010,447,1.0044943820224719,0.9977678571428571,1.0668257756563249
11,alabama,2011,448,1.0022371364653244,0.9511677282377919,1.0692124105011935
12,alabama,2012,471,1.0513392857142858,0.9957716701902748,1.1241050119331746
13,alabama,2013,473,1.0042462845010616,1.0,1.1288782816229121
14,alaska,2000,44,1.0,1.0,1.0
15,alaska,2001,44,1.0,1.0,1.0
16,alaska,2002,44,1.0,1.0,1.0
17,alaska,2003,44,1.0,0.9777777777777777,1.0
18,alaska,2004,45,1.0227272727272727,0.9782608695652174,1.0227272727272727
19,alaska,2005,46,1.0222222222222221,1.0,1.0454545454545454
20,alaska,2006,46,1.0,1.0,1.0454545454545454
21,alaska,2007,46,1.0,1.0,1.0454545454545454
22,alaska,2008,46,1.0,0.9787234042553191,1.0454545454545454
23,alaska,2009,47,1.0217391304347827,1.0,1.0681818181818183
24,alaska,2010,47,1.0,1.0,1.0681818181818183
25,alaska,2011,47,1.0,1.0,1.0681818181818183
26,alaska,2012,47,1.0,1.0,1.0681818181818183
27,alaska,2013,47,1.0,1.0,1.0681818181818183
28,arizona,2000,111,1.0,1.0,1.0
29,arizona,2001,111,1.0,1.0,1.0
30,arizona,2002,111,1.0,0.9910714285714286,1.0
31,arizona,2003,112,1.009009009009009,1.0,1.009009009009009
32,arizona,2004,112,1.0,1.0,1.009009009009009
33,arizona,2005,112,1.0,1.0,1.009009009009009
34,arizona,2006,112,1.0,1.0,1.009009009009009
35,arizona,2007,112,1.0,0.8682170542635659,1.009009009009009
36,arizona,2008,129,1.1517857142857142,0.9555555555555556,1.162162162162162
37,arizona,2009,135,1.0465116279069768,1.0,1.2162162162162162
38,arizona,2010,135,1.0,0.9926470588235294,1.2162162162162162
39,arizona,2011,136,1.0074074074074073,1.0,1.2252252252252251
40,arizona,2012,136,1.0,1.0,1.2252252252252251
41,arizona,2013,136,1.0,1.0,1.2252252252252251
42,arkansas,2000,233,1.0,1.0,1.0
43,arkansas,2001,233,1.0,0.9748953974895398,1.0
44,arkansas,2002,239,1.0257510729613735,0.9598393574297188,1.0257510729613735
45,arkansas,2003,249,1.0418410041841004,0.8861209964412812,1.0686695278969958
46,arkansas,2004,281,1.1285140562248996,0.9859649122807017,1.2060085836909873
47,arkansas,2005,285,1.0142348754448398,0.9726962457337884,1.2231759656652361
48,arkansas,2006,293,1.0280701754385966,0.979933110367893,1.257510729613734
49,arkansas,2007,299,1.0204778156996588,0.9933554817275747,1.2832618025751075
50,arkansas,2008,301,1.0066889632107023,1.0,1.2918454935622319
51,arkansas,2009,301,1.0,0.9966887417218543,1.2918454935622319
52,arkansas,2010,302,1.0033222591362125,0.993421052631579,1.296137339055794
53,arkansas,2011,304,1.0066225165562914,0.990228013029316,1.3047210300429184
54,arkansas,2012,307,1.0098684210526316,0.9967532467532467,1.3175965665236051
55,arkansas,2013,308,1.003257328990228,1.0,1.3218884120171674
56,california,2000,865,1.0,0.9988452655889145,1.0
57,california,2001,866,1.001156069364162,0.996547756041427,1.001156069364162
58,california,2002,869,1.0034642032332564,0.9988505747126437,1.0046242774566474
59,california,2003,870,1.001150747986191,1.0,1.0057803468208093
60,california,2004,870,1.0,1.0,1.0057803468208093
61,california,2005,870,1.0,0.9965635738831615,1.0057803468208093
62,california,2006,873,1.0034482758620689,1.0,1.0092485549132948
63,california,2007,873,1.0,0.9965753424657534,1.0092485549132948
64,california,2008,876,1.0034364261168385,0.9954545454545455,1.0127167630057803
65,california,2009,880,1.004566210045662,0.9977324263038548,1.0173410404624277
66,california,2010,882,1.0022727272727272,0.9943630214205186,1.0196531791907513
67,california,2011,887,1.0056689342403629,1.0,1.0254335260115606
68,california,2012,887,1.0,0.9943946188340808,1.0254335260115606
69,california,2013,892,1.0056369785794814,1.0,1.0312138728323699
70,canal zone,2000,1,1.0,1.0,1.0
71,canal zone,2001,1,1.0,1.0,1.0
72,canal zone,2002,1,1.0,1.0,1.0
73,canal zone,2003,1,1.0,1.0,1.0
74,canal zone,2004,1,1.0,1.0,1.0
75,canal zone,2005,1,1.0,1.0,1.0
76,canal zone,2006,1,1.0,1.0,1.0
77,canal zone,2007,1,1.0,1.0,1.0
78,canal zone,2008,1,1.0,1.0,1.0
79,canal zone,2009,1,1.0,1.0,1.0
80,canal zone,2010,1,1.0,1.0,1.0
81,canal zone,2011,1,1.0,1.0,1.0
82,canal zone,2012,1,1.0,1.0,1.0
83,canal zone,2013,1,1.0,1.0,1.0
84,colorado,2000,279,1.0,1.0,1.0
85,colorado,2001,279,1.0,0.9893617021276596,1.0
86,colorado,2002,282,1.010752688172043,0.9964664310954063,1.010752688172043
87,colorado,2003,283,1.00354609929078,0.9929824561403509,1.014336917562724
88,colorado,2004,285,1.0070671378091873,1.0,1.021505376344086
